"","Project.ID","Deployment.id_new","Unit","Subunit","Site","Settlements","Lon","Lat","Start.date","Time.Diff","rescaled_Time.Diff","Monitoring.Time.Diff_numeric","sinus_Monitoring.Time.Diff","cosinus_Monitoring.Time.Diff","Distance","Transect","Distance.Agri"
"75","T0","Goren Far CA29","Mediterranean Maquis","Galilee","Goren","Far",35.256043,33.048903,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,1061.863908,"Goren Far",135.740851
"76","T0","Goren Far CA30","Mediterranean Maquis","Galilee","Goren","Far",35.256043,33.048903,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,1061.863908,"Goren Far",135.740851
"77","T0","Goren Far CA31","Mediterranean Maquis","Galilee","Goren","Far",35.256043,33.048903,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,1061.863908,"Goren Far",135.740851
"78","T0","Goren Far CA32","Mediterranean Maquis","Galilee","Goren","Far",35.256043,33.048903,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,1061.863908,"Goren Far",135.740851
"79","T0","Goren Far CA33","Mediterranean Maquis","Galilee","Goren","Far",35.256043,33.048903,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,1061.863908,"Goren Far",135.740851
"80","T0","Goren Far CA35","Mediterranean Maquis","Galilee","Goren","Far",35.256043,33.048903,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,1061.863908,"Goren Far",135.740851
"81","T0","Goren Far CA36","Mediterranean Maquis","Galilee","Goren","Far",35.256043,33.048903,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,1061.863908,"Goren Far",135.740851
"82","T0","Goren Near CA19","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"83","T0","Goren Near CA20","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"84","T0","Goren Near CA21","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"85","T0","Goren Near CA22","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"86","T0","Goren Near CA23","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"87","T0","Goren Near CA24","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"88","T0","Goren Near CA25","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"89","T0","Goren Near CA26","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"90","T0","Goren Near CA27","Mediterranean Maquis","Galilee","Goren","Near",35.231046,33.054492,22/05/12,  23,-1.7395892,-30,0.988031624092862,0.154251449887584,89.93804456,"Goren Near",107.778189
"91","T0","Kerem Maharal Far CA19","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
"92","T0","Kerem Maharal Far CA20","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
"93","T0","Kerem Maharal Far CA21","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
"94","T0","Kerem Maharal Far CA22","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
"95","T0","Kerem Maharal Far CA23","Mediterranean Maquis","Carmel","Kerem Maharal","Far",35.017422,32.662375,01/07/12,  63,-1.7071490,10,-0.54402111088937,-0.839071529076452,2593.53426,"Kerem Maharal Far",640.699089
