Project.ID,Cycle_number,year,Deployment.id_new,Unit,Subunit,Site,Settlements,Agriculture,Dunes,Lon,Lat,Start.date,Time.Diff,rescaled_Time.Diff,Monitoring.Time.Diff_numeric,sinus_Monitoring.Time.Diff,cosinus_Monitoring.Time.Diff,Distance,Transect,Transect_with_date,Distance_agri,Distance_agri_rescaled,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
T0,0,2014,Gamla Far CA22,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T0,0,2014,Gamla Far CA23,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,1,0,0,0,0,0,0,0,0,0,0,0,0,0
T0,0,2014,Gamla Far CA25,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,2,0,0,0,0,0,0,0,3,0,0,0,0,0
T0,0,2014,Gamla Far CA30,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T0,0,2014,Gamla Far CA31,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,0,0,0,0,0,0,44,0,0,0,0,0,7,0
T0,0,2014,Gamla Far CA34,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,3,0,0,0,0,0,1,0,0,0,0,0,12,0
T0,0,2014,Gamla Far CA7,Herbaceous and Dwarf Shrub Vegetation,NA,Gamla,Far,NA,NA,35.74769,32.917469,25/06/2014,787,-1.11998208,4,-0.756802495,-0.653643621,4159.040426,Gamla Far,Gamla Far_25_06_2014,2763.614907,1.867977995,0,0,0,0,0,0,7,2,0,0,2,0,17,1
T0,0,2014,Karei Deshe Far CA10,Herbaceous and Dwarf Shrub Vegetation,NA,Karei Deshe,Far,NA,NA,35.58239,32.92394,06/07/2014,798,-1.11106103,15,0.65028784,-0.759687913,1603.862858,Karei Deshe Far,Karei Deshe Far_06_07_2014,745.790268,0.005215603,1,0,0,0,0,0,9,0,0,0,0,0,0,1
T0,0,2014,Karei Deshe Far CA12,Herbaceous and Dwarf Shrub Vegetation,NA,Karei Deshe,Far,NA,NA,35.58239,32.92394,06/07/2014,798,-1.11106103,15,0.65028784,-0.759687913,1603.862858,Karei Deshe Far,Karei Deshe Far_06_07_2014,745.790268,0.005215603,0,0,0,0,0,0,2,0,1,0,0,0,0,0
T0,0,2014,Karei Deshe Far CA26,Herbaceous and Dwarf Shrub Vegetation,NA,Karei Deshe,Far,NA,NA,35.58239,32.92394,06/07/2014,798,-1.11106103,15,0.65028784,-0.759687913,1603.862858,Karei Deshe Far,Karei Deshe Far_06_07_2014,745.790268,0.005215603,7,0,0,0,0,0,1,0,3,0,0,0,2,0
T0,0,2014,Karei Deshe Far CA29,Herbaceous and Dwarf Shrub Vegetation,NA,Karei Deshe,Far,NA,NA,35.58239,32.92394,06/07/2014,798,-1.11106103,15,0.65028784,-0.759687913,1603.862858,Karei Deshe Far,Karei Deshe Far_06_07_2014,745.790268,0.005215603,2,0,0,0,0,0,2,0,0,0,0,0,0,1
T0,0,2014,Karei Deshe Far CA3,Herbaceous and Dwarf Shrub Vegetation,NA,Karei Deshe,Far,NA,NA,35.58239,32.92394,06/07/2014,798,-1.11106103,15,0.65028784,-0.759687913,1603.862858,Karei Deshe Far,Karei Deshe Far_06_07_2014,745.790268,0.005215603,0,0,0,0,0,0,1,0,0,0,0,0,0,0
T0,0,2014,Karei Deshe Far CA35,Herbaceous and Dwarf Shrub Vegetation,NA,Karei Deshe,Far,NA,NA,35.58239,32.92394,06/07/2014,798,-1.11106103,15,0.65028784,-0.759687913,1603.862858,Karei Deshe Far,Karei Deshe Far_06_07_2014,745.790268,0.005215603,3,0,0,0,0,0,4,0,0,0,0,0,0,0
