,Project.ID,Cycle_number,year,Deployment.id_new,Unit,Subunit,Site,Settlements,Agriculture,Dunes,Lon,Lat,Monitoring_start_date,Start.date,Time.Diff,rescaled_Time.Diff,Monitoring.Time.Diff_numeric,sinus_Monitoring.Time.Diff,cosinus_Monitoring.Time.Diff,Distance,Distance_rescaled,Transect,Transect_with_date,Distance_agri,Distance_agri_rescaled,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
481,T1,1,2016,Ein Yahav Far 10,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.201895,30.648364,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,2939.667514,1.825784355,Ein Yahav Far,Ein Yahav Far_06_10_2016,1591.138958,0.793034993,0,0,0,0,0,3,0,0,0,2,0,0,0,3
482,T1,1,2016,Ein Yahav Far 16,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.20124,30.647376,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,3022.776712,1.903232167,Ein Yahav Far,Ein Yahav Far_06_10_2016,1594.420071,0.796076477,0,0,0,0,0,1,0,0,0,0,0,0,0,0
483,T1,1,2016,Ein Yahav Far 17,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.198451,30.649139,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,3251.978397,2.116820668,Ein Yahav Far,Ein Yahav Far_06_10_2016,1922.491807,1.100188268,0,0,0,0,0,1,0,0,0,3,0,0,0,0
484,T1,1,2016,Ein Yahav Far 18,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.200951,30.648272,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,3030.510873,1.910439478,Ein Yahav Far,Ein Yahav Far_06_10_2016,1665.945685,0.862378387,0,0,0,0,0,0,0,1,0,0,0,0,0,0
485,T1,1,2016,Ein Yahav Far 23,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.198816,30.647764,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,3241.987012,2.107509895,Ein Yahav Far,Ein Yahav Far_06_10_2016,1819.35465,1.00458349,0,0,0,0,0,1,0,0,0,0,0,0,0,0
486,T1,1,2016,Ein Yahav Far 30,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.202453,30.647986,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,2895.09734,1.784250294,Ein Yahav Far,Ein Yahav Far_06_10_2016,1524.171097,0.730957971,0,0,0,0,0,19,0,0,0,74,0,0,0,1
487,T1,1,2016,Ein Yahav Far 34,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.200092,30.648872,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,3100.652391,1.975802967,Ein Yahav Far,Ein Yahav Far_06_10_2016,1769.989363,0.95882348,0,0,0,0,0,6,0,0,0,2,0,0,0,1
488,T1,1,2016,Ein Yahav Far 9,Arid Desert,NA,Ein Yahav,NA,Far,NA,35.198859,30.648835,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,3218.098779,2.085248925,Ein Yahav Far,Ein Yahav Far_06_10_2016,1872.073847,1.053452464,0,0,0,0,0,5,0,0,0,3,0,0,0,0
489,T1,1,2016,Ein Yahav Near 1,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.243233,30.671713,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,1088.656703,0.100864115,Ein Yahav Near,Ein Yahav Near_06_10_2016,168.017858,-0.526151814,0,0,0,0,0,0,0,0,0,1,0,0,0,0
490,T1,1,2016,Ein Yahav Near 19,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.243619,30.67068,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,1000.301289,0.018527458,Ein Yahav Near,Ein Yahav Near_06_10_2016,72.53827,-0.614658275,0,0,0,0,0,0,0,0,0,17,0,0,0,0
491,T1,1,2016,Ein Yahav Near 24,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.241012,30.670791,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,907.1553656,-0.06827338,Ein Yahav Near,Ein Yahav Near_06_10_2016,92.620184,-0.596042996,0,0,0,0,0,0,0,0,0,18,0,0,0,0
492,T1,1,2016,Ein Yahav Near 36,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.241752,30.671889,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,1047.795141,0.062786036,Ein Yahav Near,Ein Yahav Near_06_10_2016,166.984198,-0.527109983,0,0,0,0,0,0,0,1,0,0,0,0,0,0
493,T1,1,2016,Ein Yahav Near 4,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.243094,30.670929,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,1003.543395,0.021548712,Ein Yahav Near,Ein Yahav Near_06_10_2016,80.178389,-0.607576134,0,0,0,0,0,0,0,1,0,0,0,0,0,0
494,T1,1,2016,Ein Yahav Near 6,Arid Desert,NA,Ein Yahav,NA,Near,NA,35.243394,30.671114,29/04/2012,06/10/2016,1621,-0.492104674,107,0.184781745,0.982779582,1034.091318,0.050015715,Ein Yahav Near,Ein Yahav Near_06_10_2016,106.388804,-0.583279935,0,0,0,0,0,0,0,0,0,7,0,0,0,0
495,T1,1,2016,Lotan Far 1,Arid Desert,NA,Lotan,NA,Far,NA,35.068978,29.992092,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,1454.12365,0.44143551,Lotan Far,Lotan Far_12_09_2016,1557.965812,0.762284569,0,0,37,0,0,0,0,0,0,0,0,0,0,1
496,T1,1,2016,Lotan Far 16,Arid Desert,NA,Lotan,NA,Far,NA,35.073581,29.991637,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,1008.423463,0.026096351,Lotan Far,Lotan Far_12_09_2016,1124.519056,0.360493575,0,0,0,0,0,0,0,1,0,0,0,0,0,1
497,T1,1,2016,Lotan Far 23,Arid Desert,NA,Lotan,NA,Far,NA,35.070867,29.992222,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,1272.975033,0.272626708,Lotan Far,Lotan Far_12_09_2016,1391.461799,0.607940784,0,0,0,0,0,0,0,1,0,0,0,0,0,0
498,T1,1,2016,Lotan Far 24,Arid Desert,NA,Lotan,NA,Far,NA,35.070555,29.991442,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,1299.736414,0.297565108,Lotan Far,Lotan Far_12_09_2016,1390.952604,0.607468777,0,0,14,0,0,0,0,0,0,0,0,0,0,1
499,T1,1,2016,Lotan Far 25,Arid Desert,NA,Lotan,NA,Far,NA,35.070942,29.991042,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,1261.225737,0.261677773,Lotan Far,Lotan Far_12_09_2016,1342.289481,0.56235965,0,0,11,0,0,0,0,0,0,0,0,0,0,2
500,T1,1,2016,Lotan Far 33,Arid Desert,NA,Lotan,NA,Far,NA,35.069665,29.991655,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,1386.214509,0.378152329,Lotan Far,Lotan Far_12_09_2016,1479.955691,0.689971733,0,0,40,0,0,0,0,0,0,0,0,0,0,1
501,T1,1,2016,Lotan Far 4,Arid Desert,NA,Lotan,NA,Far,NA,35.071757,29.992074,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,1186.238398,0.19179856,Lotan Far,Lotan Far_12_09_2016,1305.615108,0.528363704,0,0,2,0,0,0,0,1,0,0,0,0,0,1
502,T1,1,2016,Lotan Far 6,Arid Desert,NA,Lotan,NA,Far,NA,35.072154,29.990801,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,1143.603791,0.152068215,Lotan Far,Lotan Far_12_09_2016,1222.560935,0.451375196,0,0,7,0,0,0,0,0,0,0,0,0,0,0
503,T1,1,2016,Lotan Near 19,Arid Desert,NA,Lotan,NA,Near,NA,35.084245,29.980987,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,182.5563058,-0.743512863,Lotan Near,Lotan Near_12_09_2016,686.271075,-0.045747998,0,0,0,0,0,0,0,0,0,0,0,0,0,4
504,T1,1,2016,Lotan Near 26,Arid Desert,NA,Lotan,NA,Near,NA,35.084013,29.981812,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,174.7846331,-0.750755131,Lotan Near,Lotan Near_12_09_2016,597.522123,-0.12801538,0,0,0,0,0,0,0,0,0,0,0,0,0,1
505,T1,1,2016,Lotan Near 30,Arid Desert,NA,Lotan,NA,Near,NA,35.084914,29.979094,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,322.8447597,-0.612780837,Lotan Near,Lotan Near_12_09_2016,638.810042,-0.089742827,0,0,0,0,0,0,0,0,0,0,0,0,0,16
506,T1,1,2016,Lotan Near 35,Arid Desert,NA,Lotan,NA,Near,NA,35.083991,29.979814,29/04/2012,12/09/2016,1597,-0.512842084,83,0.968364461,0.249540118,290.7456637,-0.642693348,Lotan Near,Lotan Near_12_09_2016,672.107208,-0.058877441,0,0,0,0,0,0,0,0,0,1,0,0,0,0
507,T1,1,2016,Paran Far 10,Arid Desert,NA,Paran,NA,Far,NA,35.13986508,30.3508362,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,1355.375731,0.349414284,Paran Far,Paran Far_16_11_2016,1234.338452,0.46229257,0,2,0,0,0,3,0,1,0,1,0,0,0,2
508,T1,1,2016,Paran Far 19,Arid Desert,NA,Paran,NA,Far,NA,35.13980118,30.34911365,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,1490.046079,0.474910908,Paran Far,Paran Far_16_11_2016,1411.20251,0.626239779,0,0,0,0,0,0,0,0,0,0,0,0,0,3
509,T1,1,2016,Paran Far 26,Arid Desert,NA,Paran,NA,Far,NA,35.14145536,30.34967507,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,1336.201139,0.331545862,Paran Far,Paran Far_16_11_2016,1414.069503,0.628897388,0,0,0,0,0,0,0,0,0,1,0,0,0,1
510,T1,1,2016,Paran Far 30,Arid Desert,NA,Paran,NA,Far,NA,35.13934107,30.35203808,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,1314.784605,0.311588219,Paran Far,Paran Far_16_11_2016,1091.932162,0.330286588,0,0,0,0,0,14,0,1,0,0,0,0,0,4
511,T1,1,2016,Paran Far 35,Arid Desert,NA,Paran,NA,Far,NA,35.13963088,30.35146512,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,1329.32786,0.325140789,Paran Far,Paran Far_16_11_2016,1161.270544,0.394561005,0,0,0,0,0,7,0,0,0,0,0,0,0,2
512,T1,1,2016,Paran Far 36,Arid Desert,NA,Paran,NA,Far,NA,35.13837908,30.35346272,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,1314.87804,0.311675289,Paran Far,Paran Far_16_11_2016,911.142065,0.162700069,0,0,0,0,0,1,0,0,0,0,0,0,0,5
513,T1,1,2016,Paran Far A,Arid Desert,NA,Paran,NA,Far,NA,35.14043771,30.34881486,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,1472.465059,0.458527505,Paran Far,Paran Far_16_11_2016,1463.098902,0.67434604,0,0,0,0,0,1,0,0,0,4,0,0,0,7
514,T1,1,2016,Paran Far B,Arid Desert,NA,Paran,NA,Far,NA,35.14103117,30.34829507,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,1479.673675,0.465245071,Paran Far,Paran Far_16_11_2016,1537.534883,0.743345765,0,0,0,0,0,0,0,0,0,5,0,0,0,0
515,T1,1,2016,Paran Near 1,Arid Desert,NA,Paran,NA,Near,NA,35.15939056,30.3885363,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,2304.797128,1.234161241,Paran Near,Paran Near_16_11_2016,260.983839,-0.439975384,0,0,0,0,0,0,0,1,0,0,0,0,0,1
516,T1,1,2016,Paran Near 16,Arid Desert,NA,Paran,NA,Near,NA,35.15946487,30.38790917,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,2237.275356,1.171239042,Paran Near,Paran Near_16_11_2016,196.894336,-0.499384261,0,0,0,0,0,0,0,0,0,0,0,0,0,3
517,T1,1,2016,Paran Near 17,Arid Desert,NA,Paran,NA,Near,NA,35.16090112,30.38853679,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,2331.637012,1.259172797,Paran Near,Paran Near_16_11_2016,189.823632,-0.505938573,0,1,0,0,0,0,0,0,0,0,0,0,0,0
518,T1,1,2016,Paran Near 18,Arid Desert,NA,Paran,NA,Near,NA,35.1603752,30.388927,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,2363.76922,1.289116164,Paran Near,Paran Near_16_11_2016,252.313255,-0.448012732,0,0,0,0,0,0,0,1,0,1,0,0,0,1
519,T1,1,2016,Paran Near 23,Arid Desert,NA,Paran,NA,Near,NA,35.16248013,30.3895002,29/04/2012,16/11/2016,1662,-0.456678265,148,-0.338333394,-0.941026309,2471.695152,1.389690198,Paran Near,Paran Near_16_11_2016,213.958912,-0.483565956,0,1,0,0,0,0,0,0,0,2,0,0,0,0
