Distance,Distance_rescaled,Transect,Gazella gazella,Meles meles,,,Distance,Distance_rescaled,Transect,Hystrix indica,
1151.218949,0.15916463,Ramat Hashofet Far,0,0,,,1157.167444,0.164707914,Kerem Maharal Far,0,
1154.752471,0.162457449,Kerem Maharal Far,0,0,,,1163.861053,0.170945556,Ofer Far,0,
1154.836723,0.162535962,Ofer Far,0,0,,,1165.654525,0.172616857,Ofer Far,0,
1155.037022,0.162722616,Kerem Maharal Far,0,0,,,1165.697477,0.172656883,Ofer Far,0,
1157.167444,0.164707914,Kerem Maharal Far,0,0,,,1166.553649,0.173454733,Ofer Far,1,
1163.861053,0.170945556,Ofer Far,0,0,,,1166.719611,0.173609389,Ramat Hashofet Far,0,
1165.654525,0.172616857,Ofer Far,0,0,,,1169.452921,0.176156507,Kerem Maharal Far,1,
1165.697477,0.172656883,Ofer Far,0,0,,,1170.515762,0.177146947,Kerem Maharal Far,0,
1166.553649,0.173454733,Ofer Far,0,0,,,1171.300023,0.177877784,Ramat Hashofet Far,0,
1166.719611,0.173609389,Ramat Hashofet Far,0,0,,,1190.173844,0.195465924,Kerem Maharal Far,1,
1169.452921,0.176156507,Kerem Maharal Far,0,0,,,1190.388921,0.19566635,Ramat Hashofet Far,1,
1170.515762,0.177146947,Kerem Maharal Far,0,0,,,1190.945459,0.196184976,Kerem Maharal Far,0,
1171.300023,0.177877784,Ramat Hashofet Far,0,0,,,1191.618445,0.196812119,Ramat Hashofet Far,1,
1190.388921,0.19566635,Ramat Hashofet Far,0,0,,,1193.165597,0.198253879,Kerem Maharal Far,0,
1190.945459,0.196184976,Kerem Maharal Far,0,0,,,1195.395128,0.200331535,Kerem Maharal Far,0,
1191.618445,0.196812119,Ramat Hashofet Far,0,0,,,1195.904672,0.200806368,Kerem Maharal Far,0,
1193.165597,0.198253879,Kerem Maharal Far,0,0,,,1205.970537,0.210186548,Ofer Far,0,
1195.904672,0.200806368,Kerem Maharal Far,0,1,,,1210.743795,0.214634653,Kerem Maharal Far,1,
1205.970537,0.210186548,Ofer Far,0,0,,,1211.180742,0.215041835,Ramat Hashofet Far,0,
1211.180742,0.215041835,Ramat Hashofet Far,0,0,,,1216.017199,0.219548833,Ramat Hashofet Far,0,
1216.017199,0.219548833,Ramat Hashofet Far,0,0,,,1216.301791,0.219814039,Ramat Hashofet Far,0,
1216.301791,0.219814039,Ramat Hashofet Far,0,0,,,1216.673411,0.220160344,Ofer Far,0,
1216.673411,0.220160344,Ofer Far,0,0,,,1228.462903,0.231146738,Ramat Hashofet Far,1,
1228.462903,0.231146738,Ramat Hashofet Far,0,0,,,1229.93781,0.232521174,Ofer Far,0,
1229.93781,0.232521174,Ofer Far,0,0,,,1235.476521,0.237682589,Ofer Far,0,
1235.476521,0.237682589,Ofer Far,0,0,,,1239.886022,0.241791716,Ofer Far,0,
1239.886022,0.241791716,Ofer Far,0,0,,,1257.824108,0.258507862,Ramat Hashofet Far,1,
1257.824108,0.258507862,Ramat Hashofet Far,0,0,,,1271.001647,0.270787749,Ofer Far,2,
1271.001647,0.270787749,Ofer Far,0,0,,,1272.785732,0.272450303,Ramat Hashofet Far,1,
1272.785732,0.272450303,Ramat Hashofet Far,0,1,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,0,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,0,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,3,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,1,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,0,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,2,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,1,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,0,,,1272.785732,0.272450303,Ramat Hashofet Far,0,
1272.785732,0.272450303,Ramat Hashofet Far,0,0,,,1277.083381,0.276455196,Ramat Hashofet Far,0,
1277.083381,0.276455196,Ramat Hashofet Far,0,1,,,1285.666652,0.284453776,Ramat Hashofet Far,0,
1285.666652,0.284453776,Ramat Hashofet Far,0,0,,,1288.282587,0.286891514,Ramat Hashofet Far,0,
1288.282587,0.286891514,Ramat Hashofet Far,0,0,,,1311.504821,0.308531853,Ramat Hashofet Far,0,
1311.504821,0.308531853,Ramat Hashofet Far,0,0,,,1325.648204,0.321711791,Ramat Hashofet Far,1,
1325.648204,0.321711791,Ramat Hashofet Far,0,0,,,1345.505679,0.340216578,Ramat Hashofet Far,0,
1345.505679,0.340216578,Ramat Hashofet Far,0,0,,,1350.207914,0.344598497,Ramat Hashofet Far,4,
1350.207914,0.344598497,Ramat Hashofet Far,0,0,,,1358.903624,0.352701857,Ramat Hashofet Far,0,
1358.903624,0.352701857,Ramat Hashofet Far,0,0,,,1365.702602,0.35903769,Ramat Hashofet Far,0,
1365.702602,0.35903769,Ramat Hashofet Far,0,1,,,1371.795981,0.364715989,Ramat Hashofet Far,1,
1377.878705,0.370384358,Ramat Hashofet Far,0,0,,,1377.878705,0.370384358,Ramat Hashofet Far,5,
1399.84402,0.3908534,Ramat Hashofet Far,0,0,,,1399.84402,0.3908534,Ramat Hashofet Far,0,
1423.419285,0.412822721,Ramat Hashofet Far,0,0,,,1423.419285,0.412822721,Ramat Hashofet Far,0,
1459.312619,0.446271007,Ramat Hashofet Far,0,0,,,1459.312619,0.446271007,Ramat Hashofet Far,0,
1460.33577,0.447224461,Ramat Hashofet Far,0,0,,,1460.33577,0.447224461,Ramat Hashofet Far,0,
1516.694188,0.499743752,Ramat Hashofet Far,0,0,,,1516.694188,0.499743752,Ramat Hashofet Far,1,
1522.476648,0.505132312,Ramat Hashofet Far,0,0,,,1522.476648,0.505132312,Ramat Hashofet Far,0,
1527.955246,0.510237709,Ramat Hashofet Far,0,0,,,1527.955246,0.510237709,Ramat Hashofet Far,1,
1543.111908,0.524361901,Elyakim Far,0,0,,,1543.111908,0.524361901,Elyakim Far,1,
1543.111908,0.524361901,Elyakim Far,0,0,,,1543.111908,0.524361901,Elyakim Far,0,
1543.111908,0.524361901,Elyakim Far,0,0,,,1543.111908,0.524361901,Elyakim Far,0,
1543.111908,0.524361901,Elyakim Far,0,0,,,1543.111908,0.524361901,Elyakim Far,0,
1543.111908,0.524361901,Elyakim Far,0,0,,,1543.111908,0.524361901,Elyakim Far,0,
1543.111908,0.524361901,Elyakim Far,0,0,,,1543.111908,0.524361901,Elyakim Far,0,
