Project.ID,year,Unit,Subunit,Site,Proximity,Dunes,Lon,Lat,Start.date,Deployment.id,Canis aureus,Canis lupus,Capra nubiana,Dama mesopotamica,Equus hemionus,Erinaceus concolor,Gazella dorcas,Gazella gazella,Hyaena hyaena,Hystrix indica,Lepus capensis,Martes foina,Meles meles,Oryx leucoryx,Sus scrofa,Vulpes vulpes
T0,2012,Mediterranean Maquis,Carmel,Yagur,Near,NA,35.077215,32.738092,15495,Yagur Near CA9,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,4
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Far,NA,35.229275,33.003018,15494,Ein Yaakov Far CA20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Far,NA,35.229275,33.003018,15494,Ein Yaakov Far CA21,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Far,NA,35.229275,33.003018,15494,Ein Yaakov Far CA22,4,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Far,NA,35.229275,33.003018,15494,Ein Yaakov Far CA23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Far,NA,35.229275,33.003018,15494,Ein Yaakov Far CA24,1,1,0,0,0,0,0,0,0,1,0,0,0,0,15,1
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Far,NA,35.229275,33.003018,15494,Ein Yaakov Far CA25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Far,NA,35.229275,33.003018,15494,Ein Yaakov Far CA26,10,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA10,9,0,0,0,0,0,0,0,0,3,0,0,0,0,17,1
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA11,7,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA12,11,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA14,16,0,0,0,0,0,0,0,0,5,0,0,1,0,58,1
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA15,13,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,2
T0,2012,Mediterranean Maquis,Galilee,Ein Yaakov,Near,NA,35.228332,33.006337,15494,Ein Yaakov Near CA18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Far,NA,35.256043,33.048903,15482,Goren Far CA28,0,0,0,4,0,0,0,0,0,2,0,2,0,0,21,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Far,NA,35.256043,33.048903,15482,Goren Far CA29,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Far,NA,35.256043,33.048903,15482,Goren Far CA30,15,0,0,48,0,0,0,0,1,29,0,0,1,0,200,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Far,NA,35.256043,33.048903,15482,Goren Far CA31,0,0,0,12,0,0,0,0,0,0,0,0,0,0,28,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Far,NA,35.256043,33.048903,15482,Goren Far CA32,1,0,0,2,0,0,0,0,0,0,0,1,1,0,5,2
T0,2012,Mediterranean Maquis,Galilee,Goren,Far,NA,35.256043,33.048903,15482,Goren Far CA33,3,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Far,NA,35.256043,33.048903,15482,Goren Far CA35,0,0,0,1,0,0,0,0,0,0,0,0,2,0,10,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Far,NA,35.256043,33.048903,15482,Goren Far CA36,3,0,0,1,0,0,0,0,0,1,0,0,1,0,10,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA19,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,36,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA21,0,0,0,6,0,0,0,0,0,1,0,0,0,0,37,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA22,13,0,0,2,0,0,0,0,0,6,0,0,0,0,42,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA24,10,0,0,2,0,0,0,0,0,0,0,0,0,0,97,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA25,31,0,0,10,0,0,0,0,0,4,0,0,1,0,211,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T0,2012,Mediterranean Maquis,Galilee,Goren,Near,NA,35.231046,33.054492,15482,Goren Near CA27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,8,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA03,0,1,0,0,0,0,0,0,0,4,0,1,0,0,4,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA04,1,0,0,0,0,0,0,2,0,1,0,0,0,0,6,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA05,0,0,0,0,0,0,0,1,0,2,0,0,1,0,5,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA06,0,0,0,0,0,0,0,3,0,1,0,0,1,0,5,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA07,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA08,0,0,0,0,0,0,0,1,0,1,0,2,0,0,19,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Far,NA,35.557543,33.122668,15481,Yiftah Far CA09,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA10,1,0,0,0,0,0,0,1,0,7,0,1,0,0,20,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA11,1,0,0,0,0,0,0,0,2,1,0,0,0,0,7,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA12,0,4,0,0,0,0,0,0,0,1,0,0,0,0,12,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA14,1,0,0,0,0,0,0,1,0,2,0,0,0,0,20,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA15,2,1,0,0,0,0,0,0,0,2,0,0,1,0,27,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
T0,2012,Mediterranean Maquis,Galilee,Iftach,Near,NA,35.555958,33.127622,15481,Yiftah Near CA18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA02,10,0,0,0,0,0,0,0,0,2,0,1,0,0,9,21
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA03,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA04,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA07,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA08,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Far,NA,35.469839,32.967418,15459,Kfar Shamai Far CA09,12,0,0,0,0,0,0,0,0,4,0,3,1,0,31,2
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Near,NA,35.458873,32.964077,15459,Kfar Shamai Near CA10,8,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3
T0,2012,Mediterranean Maquis,Galilee,Kfar Shamai,Near,NA,35.458873,32.964077,15459,Kfar Shamai Near CA11,51,0,0,0,0,0,0,0,0,2,0,0,0,0,16,9
